heterogeneity,heterogeneity_type,word_frequency,heterogeneity_regex,also_tested
diversity of neuron,biological,3,,
diversity of neurons,biological,3,,
diversity of neuronal,biological,3,,
neuron diversity,biological,2,,
neuronal diversity,biological,2,,
metamorphic diversity,ecological,2,,
diverse metamorphic,ecological,2,,
diversity of metamorphic,ecological,3,,
diverse agent,biological,2,,
diverse agents,biological,2,,
diversity of agent,biological,3,,
diversity of agents,biological,3,,
agent diversity,biological,2,,
agents diversity,biological,2,,
junction diversity,biological,2,,
junctional diversity,biological,2,,
diverse junction,biological,2,,
diverse junctions,biological,2,,
diversity of junction,biological,3,,
diversity of junctions,biological,3,,
diverse junctional,biological,2,,
diversity of junctional,biological,3,,
ligand diversity,biological,2,,
diverse ligand,biological,2,,
diverse ligands,biological,2,,
diversity of ligand,biological,3,,
diversity of ligands,biological,3,,
interclonal diversity,biological,2,,
intraclonal diversity,biological,2,,
inter-clonal diversity,biological,2,,
intra-clonal diversity,biological,2,,
diverse interclonal,biological,2,,
diverse intraclonal,biological,2,,
diverse inter-clonal,biological,2,,
diverse intra-clonal,biological,2,,
diversity of interclonal,biological,3,,
diversity of intraclonal,biological,3,,
diversity of inter-clonal,biological,3,,
diversity of intra-clonal,biological,3,,
interneuronal diversity,biological,2,,
intraneuronal diversity,biological,2,,
inter-neuronal diversity,biological,2,,
intra-neuronal diversity,biological,2,,
diverse interneuronal,biological,2,,
diverse intraneuronal,biological,2,,
diverse inter-neuronal,biological,2,,
diverse intra-neuronal,biological,2,,
diversity of interneuronal,biological,3,,
diversity of intraneuronal,biological,3,,
diversity of inter-neuronal,biological,3,,
diversity of intra-neuronal,biological,3,,
diverse microorganism,biological,2,,
diverse microorganisms,biological,2,,
diverse macroorganism,biological,2,,
diverse macroorganisms,biological,2,,
diverse micro-organism,biological,2,,
diverse micro-organisms,biological,2,,
diverse macro-organism,biological,2,,
diverse macro-organisms,biological,2,,
diverse organism,biological,2,,
diverse organisms,biological,2,,
organism diversity,biological,2,,
organismic diversity,biological,2,,
diverse microorganismic,biological,2,,
diverse macroorganismic,biological,2,,
diverse micro-organismic,biological,2,,
diverse macro-organismic,biological,2,,
diversity of organism,biological,3,,
diversity of microorganism,biological,3,,
diversity of microorganisms,biological,3,,
diversity of macroorganism,biological,3,,
diversity of macroorganisms,biological,3,,
diversity of micro-organism,biological,3,,
diversity of micro-organisms,biological,3,,
diversity of macro-organism,biological,3,,
diversity of macro-organisms,biological,3,,
diversity of organisms,biological,3,,
micro-organism diversity,biological,2,,
micro-organismic diversity,biological,2,,
macro-organism diversity,biological,2,,
macro-organismic diversity,biological,2,,
microorganism diversity,biological,2,,
