term,str_type,mean_embeddings,category,continental,regional,subclass,source,date_added
africa,entity,1,continental,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
african,"adjective, demonym",1,continental,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
africana,adjective,0,continental,africa,NA,NA,https://en.wikipedia.org/wiki/Continent,2020-05-27
africans,demonym,0,continental,africa,NA,NA,https://en.wikipedia.org/wiki/Continent,2020-05-27
antarctic,"adjective, demonym",1,continental,antartica,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
antarctica,entity,1,continental,antartica,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
antarctican,"adjective, demonym",0,continental,antartica,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
antarcticans,demonym,0,continental,antartica,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
asia,entity,1,continental,asia,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
asian,"adjective, demonym",1,continental,asia,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
asians,demonym,0,continental,asia,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
europe,entity,1,continental,europe,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
european,"adjective, demonym",1,continental,europe,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
europeans,demonym,0,continental,europe,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
america,entity,1,continental,north america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
american,"adjective, demonym",1,continental,north america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
americana,"adjective, demonym",0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
americans,demonym,0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
americas,entity,0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
north_america,entity,0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
north_american,"adjective, demonym",0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
north_americans,demonym,0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
south_america,entity,0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
south_american,"adjective, demonym",0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
south_americans,demonym,0,continental,north america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
australasia,"adjective, demonym",1,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
australasian,"adjective, demonym",1,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
australasians,demonym,0,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
australia,entity,1,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
australian,"adjective, demonym",1,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
australians,demonym,0,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
oceania,entity,1,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
oceanian,"adjective, demonym",0,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
oceanians,demonym,0,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
oceanic,adjective,1,continental,oceania,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
america,entity,1,continental,south america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
american,"adjective, demonym",1,continental,south america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
americana,adjective,1,continental,south america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
americans,demonym,0,continental,south america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
americas,entity,0,continental,south america,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
afroasian,"adjective, demonym",0,continental,transcontinental,NA,NA,https://en.wikipedia.org/wiki/Proto-Afroasiatic_language,2020-05-30
afroasiatic,adjective,0,continental,transcontinental,NA,NA,https://en.wikipedia.org/wiki/Proto-Afroasiatic_language,2020-05-30
afroeurasia,entity,0,continental,transcontinental,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
afroeurasian,"adjective, demonym",0,continental,transcontinental,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
afroeurasians,demonym,0,continental,transcontinental,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
eurasia,entity,1,continental,transcontinental,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
eurasian,"adjective, demonym",1,continental,transcontinental,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
eurasians,demonym,0,continental,transcontinental,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_of_place_names,2020-05-28
east,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
eastern,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
easterner,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
easterners,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
north,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
northeast,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
northeastern,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
northeasterner,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
northeasterners,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
northern,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
northerner,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
northerners,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
south,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southeast,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southeastern,adjective,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southeasterner,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southeasterners,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southern,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southerner,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southerners,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southwest,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southwestern,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southwesterner,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
southwesterners,demonym,0,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
west,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
western,adjective,1,directional,NA,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
north_america,entity,0,directional,south america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
north_american,"adjective, demonym",0,directional,south america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
north_americans,demonym,0,directional,south america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
south_america,entity,0,directional,south america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
south_american,"adjective, demonym",0,directional,south america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
south_americans,demonym,0,directional,south america,NA,NA,https://en.wikipedia.org/wiki/Cardinal_direction,2020-05-27
algeria,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
algerian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
algerians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
angola,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
angolan,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
angolans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
basotho,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
benin,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
beninese,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
beninois,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
bissau_guinean,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
bissau_guineans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
botswana,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
botswanian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
botswanians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
burkina_faso,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
burkinabe,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
burkinese,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
burundi,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
burundian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
burundians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
cabo_verde,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
cabo_verdean,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
cabo_verdeans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
cambodia,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
cambodian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
cambodians,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
cameroon,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
cameroonian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
cameroonians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
chad,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
chadian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
chadians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
comoran,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
comorans,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
comoros,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
congo,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
congonese,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
djibouti,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
djiboutian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
djiboutians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
egypt,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
egyptian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
egyptians,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
emiri,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
emirian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
equatorial_guinea,,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
equatorial_guinean,,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
equatorial_guineans,,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
eritrea,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
eritrean,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
eritreans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
eswatini,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
eswatinian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
eswatinians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ethiopia,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ethiopian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ethiopians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
gabon,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
gabonese,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
gambia,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
gambian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
gambians,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ghana,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ghanian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ghanians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
guinea,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
guinea_bissau,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
guinean,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
guineans,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ivorian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ivorians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
ivory_coast,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
jordan,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
jordanian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
jordanians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
kenya,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
kenyian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
kenyians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
lesothan,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
lesothans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
lesotho,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
lesothonian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
lesothonians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
liberia,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
liberian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
liberians,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
libya,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
libyan,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
libyans,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mali,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
malian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
malians,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
masotho,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mauritania,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mauritanian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mauritanians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mauritian,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mauritians,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mauritius,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
moroccan,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
moroccans,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
morocco,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mozambican,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mozambicans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
mozambique,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
namibia,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
namibian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
namibians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
niger,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
nigeria,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
nigerian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
nigerians,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
nigerien,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
nigeriens,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
rwanda,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
rwandan,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
rwandans,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
sahrawi,,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
sahrawi_arab_democratic_republic,,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
sao_tome_and_principe,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
sao_tomean,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
sao_tomeans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
seirra_leone,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
senegal,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
senegalese,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
seychelles,,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
seychellois,,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
sierra_leonean,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
sierra_leoneans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
somalia,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
somalian,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
somalians,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
south_africa,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
south_african,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
south_africans,demonym,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
south_sudan,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
south_sudanese,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-02-27
sudan,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
sudanese,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
swati,entity,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
swatis,"adjective, demonym",0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_adjectival_and_demonymic_forms_for_countries_and_nations,2020-05-30
swazi,,0,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
swaziland,,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
swazis,,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
syria,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
syrian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
syrians,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
tanzania,entity,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
tanzanian,"adjective, demonym",1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
tanzanians,demonym,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
togo,,1,national,africa,NA,NA,https://en.wikipedia.org/wiki/List_of_sovereign_states,2020-05-30
