terms,category,compound,date_added
cheetahs,nonhuman,FALSE,
chick,nonhuman,FALSE,
chickadee,nonhuman,FALSE,
chickadees,nonhuman,FALSE,
chicken,nonhuman,FALSE,
chickens,nonhuman,FALSE,
chicks,nonhuman,FALSE,
chihuahua,nonhuman,FALSE,
chihuahuas,nonhuman,FALSE,
chimpanzee,nonhuman,FALSE,
chimpanzees,nonhuman,FALSE,
chinchilla,nonhuman,FALSE,
chinchillas,nonhuman,FALSE,
chinook,nonhuman,FALSE,
chinooks,nonhuman,FALSE,
chipmunk,nonhuman,FALSE,
chipmunks,nonhuman,FALSE,
chow chow,nonhuman,TRUE,
chow chows,nonhuman,TRUE,
cicada,nonhuman,FALSE,
cicadas,nonhuman,FALSE,
cichlid,nonhuman,FALSE,
cichlids,nonhuman,FALSE,
civet,nonhuman,FALSE,
civets,nonhuman,FALSE,
clam,nonhuman,FALSE,
clams,nonhuman,FALSE,
clownfish,nonhuman,FALSE,
clownfishes,nonhuman,FALSE,
coati,nonhuman,FALSE,
coatis,nonhuman,FALSE,
cobra,nonhuman,FALSE,
cobras,nonhuman,FALSE,
cockroach,nonhuman,FALSE,
cockroaches,nonhuman,FALSE,
cod,nonhuman,FALSE,
cods,nonhuman,FALSE,
collie,nonhuman,FALSE,
collies,nonhuman,FALSE,
colobus,nonhuman,FALSE,
colobuses,nonhuman,FALSE,
condor,nonhuman,FALSE,
condors,nonhuman,FALSE,
constrictor,nonhuman,FALSE,
constrictors,nonhuman,FALSE,
coonhound,nonhuman,FALSE,
coonhounds,nonhuman,FALSE,
copperhead,nonhuman,FALSE,
copperheads,nonhuman,FALSE,
coral,nonhuman,FALSE,
corals,nonhuman,FALSE,
corn,nonhuman,FALSE,
corns,nonhuman,FALSE,
maize,nonhuman,FALSE,
maizes,nonhuman,FALSE,
corncrake,nonhuman,FALSE,
corncrakes,nonhuman,FALSE,
cougar,nonhuman,FALSE,
cougars,nonhuman,FALSE,
cow,nonhuman,FALSE,
cows,nonhuman,FALSE,
coyote,nonhuman,FALSE,
coyotes,nonhuman,FALSE,
crab,nonhuman,FALSE,
crabs,nonhuman,FALSE,
crane,nonhuman,FALSE,
cranes,nonhuman,FALSE,
crawdad,nonhuman,FALSE,
crawdads,nonhuman,FALSE,
crayfish,nonhuman,FALSE,
crayfishes,nonhuman,FALSE,
cricket,nonhuman,FALSE,
crickets,nonhuman,FALSE,
crocodile,nonhuman,FALSE,
crocodiles,nonhuman,FALSE,
crocodylian,nonhuman,FALSE,
crocodylians,nonhuman,FALSE,
crow,nonhuman,FALSE,
crows,nonhuman,FALSE,
cuckoo,nonhuman,FALSE,
cuckoos,nonhuman,FALSE,
cuscus,nonhuman,FALSE,
cuscuses,nonhuman,FALSE,
cuttlefish,nonhuman,FALSE,
cuttlefishes,nonhuman,FALSE,
dachsbracke,nonhuman,FALSE,
dachshund,nonhuman,FALSE,
dachshunds,nonhuman,FALSE,
dalmatian,nonhuman,FALSE,
dalmatians,nonhuman,FALSE,
damselflies,nonhuman,FALSE,
damselfly,nonhuman,FALSE,
dane,nonhuman,FALSE,
danes,nonhuman,FALSE,
date palm,nonhuman,TRUE,
date palms,nonhuman,TRUE,
deer,nonhuman,FALSE,
deers,nonhuman,FALSE,
dhole,nonhuman,FALSE,
dholes,nonhuman,FALSE,
dictyostelium,nonhuman,FALSE,
dingo,nonhuman,FALSE,
dingos,nonhuman,FALSE,
dinosaur,nonhuman,FALSE,
dinosaurs,nonhuman,FALSE,
dodo,nonhuman,FALSE,
dodos,nonhuman,FALSE,
dog,nonhuman,FALSE,
dogfish,nonhuman,FALSE,
dogfishes,nonhuman,FALSE,
dogs,nonhuman,FALSE,
dolphin,nonhuman,FALSE,
dolphins,nonhuman,FALSE,
donkey,nonhuman,FALSE,
donkeys,nonhuman,FALSE,
dormice,nonhuman,FALSE,
dormouse,nonhuman,FALSE,
dormouse,nonhuman,FALSE,
