terms,category,compound,date_added
rhinoceros,nonhuman,FALSE,
rhinoceroses,nonhuman,FALSE,
rice,nonhuman,FALSE,
rices,nonhuman,FALSE,
roadrunner,nonhuman,FALSE,
roadrunners,nonhuman,FALSE,
robin,nonhuman,FALSE,
robins,nonhuman,FALSE,
rodent,nonhuman,FALSE,
rodents,nonhuman,FALSE,
rook,nonhuman,FALSE,
rooks,nonhuman,FALSE,
rooster,nonhuman,FALSE,
roosters,nonhuman,FALSE,
rottweiler,nonhuman,FALSE,
rottweilers,nonhuman,FALSE,
roundworm,nonhuman,FALSE,
roundworms,nonhuman,FALSE,
sailfish,nonhuman,FALSE,
sailfishes,nonhuman,FALSE,
salamander,nonhuman,FALSE,
salamanders,nonhuman,FALSE,
salmon,nonhuman,FALSE,
salmons,nonhuman,FALSE,
saola,nonhuman,FALSE,
saolas,nonhuman,FALSE,
saturn,nonhuman,FALSE,
sawfish,nonhuman,FALSE,
sawfishes,nonhuman,FALSE,
scallop,nonhuman,FALSE,
scallops,nonhuman,FALSE,
schnauzer,nonhuman,FALSE,
schnauzers,nonhuman,FALSE,
scorpion,nonhuman,FALSE,
scorpions,nonhuman,FALSE,
sea urchin,nonhuman,TRUE,
sea urchins,nonhuman,TRUE,
seahorse,nonhuman,FALSE,
seahorses,nonhuman,FALSE,
seal,nonhuman,FALSE,
seals,nonhuman,FALSE,
seedling,nonhuman,FALSE,
seedlings,nonhuman,FALSE,
serval,nonhuman,FALSE,
servals,nonhuman,FALSE,
shark,nonhuman,FALSE,
sharks,nonhuman,FALSE,
sheep,nonhuman,FALSE,
sheepdog,nonhuman,FALSE,
sheepdogs,nonhuman,FALSE,
sheeps,nonhuman,FALSE,
shih tzu,nonhuman,TRUE,
shih tzus,nonhuman,TRUE,
shrew,nonhuman,FALSE,
shrews,nonhuman,FALSE,
shrimp,nonhuman,FALSE,
shrimps,nonhuman,FALSE,
sifaka,nonhuman,FALSE,
sifakas,nonhuman,FALSE,
silkmoth,nonhuman,FALSE,
silkmothes,nonhuman,FALSE,
silkworm,nonhuman,FALSE,
silkworms,nonhuman,FALSE,
silverfish,nonhuman,FALSE,
silverfishes,nonhuman,FALSE,
skink,nonhuman,FALSE,
skinks,nonhuman,FALSE,
skunk,nonhuman,FALSE,
skunks,nonhuman,FALSE,
sloth,nonhuman,FALSE,
sloths,nonhuman,FALSE,
slug,nonhuman,FALSE,
slugs,nonhuman,FALSE,
smelt,nonhuman,FALSE,
smelts,nonhuman,FALSE,
snail,nonhuman,FALSE,
snails,nonhuman,FALSE,
snake,nonhuman,FALSE,
snakes,nonhuman,FALSE,
soil,nonhuman,FALSE,
soils,nonhuman,FALSE,
soy,nonhuman,FALSE,
soybean,nonhuman,FALSE,
soybeans,nonhuman,FALSE,
spaniel,nonhuman,FALSE,
spaniels,nonhuman,FALSE,
sparrow,nonhuman,FALSE,
sparrows,nonhuman,FALSE,
spider,nonhuman,FALSE,
spiders,nonhuman,FALSE,
spitz,nonhuman,FALSE,
spitzes,nonhuman,FALSE,
sponge,nonhuman,FALSE,
sponges,nonhuman,FALSE,
spoonbill,nonhuman,FALSE,
spoonbills,nonhuman,FALSE,
squid,nonhuman,FALSE,
squids,nonhuman,FALSE,
squirrel,nonhuman,FALSE,
squirrels,nonhuman,FALSE,
stallion,nonhuman,FALSE,
stallions,nonhuman,FALSE,
starfish,nonhuman,FALSE,
starfishes,nonhuman,FALSE,
starling,nonhuman,FALSE,
starlings,nonhuman,FALSE,
stickleback,nonhuman,FALSE,
stickleback,nonhuman,FALSE,
sticklebacks,nonhuman,FALSE,
sticklebacks,nonhuman,FALSE,
stingray,nonhuman,FALSE,
stingrays,nonhuman,FALSE,
stoat,nonhuman,FALSE,
stoats,nonhuman,FALSE,
stork,nonhuman,FALSE,
storks,nonhuman,FALSE,
string ray,nonhuman,TRUE,
string rays,nonhuman,TRUE,
sturgeon,nonhuman,FALSE,
sturgeons,nonhuman,FALSE,
subfish,nonhuman,FALSE,
subfishes,nonhuman,FALSE,
sun,nonhuman,FALSE,
supernova,nonhuman,FALSE,
supernovae,nonhuman,FALSE,
supernovas,nonhuman,FALSE,
swallow,nonhuman,FALSE,
swallows,nonhuman,FALSE,
swan,nonhuman,FALSE,
swans,nonhuman,FALSE,
swordfish,nonhuman,FALSE,
swordfishes,nonhuman,FALSE,
swordtail,nonhuman,FALSE,
swordtails,nonhuman,FALSE,
tahr,nonhuman,FALSE,
tahrs,nonhuman,FALSE,
takin,nonhuman,FALSE,
takins,nonhuman,FALSE,
tamarin,nonhuman,FALSE,
tamarins,nonhuman,FALSE,
tang,nonhuman,FALSE,
tangs,nonhuman,FALSE,
tapir,nonhuman,FALSE,
tapirs,nonhuman,FALSE,
tarantula,nonhuman,FALSE,
tarantulas,nonhuman,FALSE,
tarsier,nonhuman,FALSE,
tarsiers,nonhuman,FALSE,
tasmanian devil,nonhuman,TRUE,
tasmanian devils,nonhuman,TRUE,
termite,nonhuman,FALSE,
termites,nonhuman,FALSE,
tern,nonhuman,FALSE,
terns,nonhuman,FALSE,
terrier,nonhuman,FALSE,
terriers,nonhuman,FALSE,
tetra,nonhuman,FALSE,
tetras,nonhuman,FALSE,
thorny devil,nonhuman,TRUE,
thorny devils,nonhuman,TRUE,
thrush,nonhuman,FALSE,
thrushes,nonhuman,FALSE,
tick,nonhuman,FALSE,
ticks,nonhuman,FALSE,
tiger,nonhuman,FALSE,
tigers,nonhuman,FALSE,
tiglon,nonhuman,FALSE,
tiglons,nonhuman,FALSE,
tilapia,nonhuman,FALSE,
tilapias,nonhuman,FALSE,
toad,nonhuman,FALSE,
toads,nonhuman,FALSE,
tortoise,nonhuman,FALSE,
tortoises,nonhuman,FALSE,
toucan,nonhuman,FALSE,
toucans,nonhuman,FALSE,
tree,nonhuman,FALSE,
treefrog,nonhuman,FALSE,
treefrogs,nonhuman,FALSE,
trees,nonhuman,FALSE,
tropicbird,nonhuman,FALSE,
tropicbirds,nonhuman,FALSE,
trout,nonhuman,FALSE,
trouts,nonhuman,FALSE,
tuatara,nonhuman,FALSE,
tuataras,nonhuman,FALSE,
tuna,nonhuman,FALSE,
tunas,nonhuman,FALSE,
turkey,nonhuman,FALSE,
turkeys,nonhuman,FALSE,
turtle,nonhuman,FALSE,
turtles,nonhuman,FALSE,
tyrannosaurus,nonhuman,FALSE,
tyrannosauruses,nonhuman,FALSE,
uakari,nonhuman,FALSE,
uakaris,nonhuman,FALSE,
umbrellabird,nonhuman,FALSE,
umbrellabirds,nonhuman,FALSE,
uranus,nonhuman,FALSE,
urial,nonhuman,FALSE,
urials,nonhuman,FALSE,
venus,nonhuman,FALSE,
vicuna,nonhuman,FALSE,
vicunas,nonhuman,FALSE,
viper,nonhuman,FALSE,
vipers,nonhuman,FALSE,
vole,nonhuman,FALSE,
voles,nonhuman,FALSE,
vulture,nonhuman,FALSE,
vultures,nonhuman,FALSE,
wallabies,nonhuman,FALSE,
wallaby,nonhuman,FALSE,
walrus,nonhuman,FALSE,
walruses,nonhuman,FALSE,
warbler,nonhuman,FALSE,
warblers,nonhuman,FALSE,
warthog,nonhuman,FALSE,
warthogs,nonhuman,FALSE,
wasp,nonhuman,FALSE,
wasps,nonhuman,FALSE,
weasel,nonhuman,FALSE,
weasels,nonhuman,FALSE,
weevil,nonhuman,FALSE,
weevils,nonhuman,FALSE,
whale,nonhuman,FALSE,
whales,nonhuman,FALSE,
whippet,nonhuman,FALSE,
whippets,nonhuman,FALSE,
whitefish,nonhuman,FALSE,
whitefishes,nonhuman,FALSE,
wildcat,nonhuman,FALSE,
wildcats,nonhuman,FALSE,
wildebeest,nonhuman,FALSE,
wildebeests,nonhuman,FALSE,
wildfowl,nonhuman,FALSE,
wildfowls,nonhuman,FALSE,
wolf,nonhuman,FALSE,
wolfhound,nonhuman,FALSE,
wolfhounds,nonhuman,FALSE,
wolverine,nonhuman,FALSE,
wolverines,nonhuman,FALSE,
wolves,nonhuman,FALSE,
wombat,nonhuman,FALSE,
wombats,nonhuman,FALSE,
woodlice,nonhuman,FALSE,
woodllouse,nonhuman,FALSE,
woodpecker,nonhuman,FALSE,
woodpeckers,nonhuman,FALSE,
worm,nonhuman,FALSE,
worms,nonhuman,FALSE,
wrasse,nonhuman,FALSE,
wrasses,nonhuman,FALSE,
wren,nonhuman,FALSE,
wrens,nonhuman,FALSE,
xerinae,nonhuman,FALSE,
yak,nonhuman,FALSE,
yaks,nonhuman,FALSE,
yeast,nonhuman,FALSE,
zebra,nonhuman,FALSE,
zebrafish,nonhuman,FALSE,
zebrafishes,nonhuman,FALSE,
zebras,nonhuman,FALSE,
zebu,nonhuman,FALSE,
zebus,nonhuman,FALSE,
zonkey,nonhuman,FALSE,
zonkeys,nonhuman,FALSE,
zorse,nonhuman,FALSE,
zorses,nonhuman,FALSE,
