publication,count,include,overall_rank
Neuro-oncology,2534,1,176
Trends in endocrinology and metabolism: TEM,2411,1,177
Trends in cognitive sciences,2201,1,178
EMBO molecular medicine,2182,1,179
The Lancet. Infectious diseases,2175,1,180
Trends in immunology,2059,1,181
Trends in molecular medicine,2010,1,182
The Lancet. Neurology,1980,1,183
Biotechnology advances,1880,1,184
Genome medicine,1832,1,185
Progress in neurobiology,1763,1,186
Nature reviews. Genetics,1738,1,187
Nature reviews. Immunology,1738,1,188
JAMA neurology,1727,1,189
Nature reviews. Neuroscience,1560,1,190
Nature reviews. Cancer,1556,1,191
Annual review of medicine,1549,1,192
Nature reviews. Microbiology,1518,1,193
JAMA internal medicine,1502,1,194
Clinical psychology review,1496,1,195
Psychological bulletin,1430,1,196
Systematic biology,1404,1,197
JAMA psychiatry,1311,1,198
Nature reviews. Drug discovery,1289,1,199
Human reproduction update,1274,1,200
World journal of hepatology,1273,1,201
JAMA pediatrics,1236,1,202
Physiological reviews,1193,1,203
Ageing research reviews,1182,1,204
The world journal of biological psychiatry : the official journal of the World Federation of Societies of Biological Psychiatry,1157,1,205
Clinical microbiology reviews,1126,1,206
Natural product reports,1084,1,207
Nature reviews. Rheumatology,1064,1,208
Sleep medicine reviews,1059,1,209
Endocrine reviews,1030,1,210
Annual review of immunology,987,1,211
Annual review of physiology,955,1,212
JAMA oncology,934,1,213
Annual review of pharmacology and toxicology,918,1,214
Nature reviews. Endocrinology,910,1,215
Annual review of microbiology,884,1,216
Nature reviews. Cardiology,880,1,217
Nature reviews. Nephrology,878,1,218
Nature reviews. Gastroenterology & hepatology,870,1,219
Nature reviews. Clinical oncology,826,1,220
Annual review of neuroscience,793,1,221
Annual review of cell and developmental biology,758,1,222
Annual review of public health,754,1,223
CA: a cancer journal for clinicians,752,1,224
The Lancet. Respiratory medicine,746,1,225
The lancet. Diabetes & endocrinology,734,1,226
Annual review of genetics,730,1,227
Pharmacological reviews,729,1,228
The Lancet. Global health,728,1,229
Annual review of nutrition,703,1,230
Annual review of psychology,700,1,231
Nature biomedical engineering,619,1,232
"Alzheimer's & dementia (Amsterdam, Netherlands)",608,1,233
The lancet. HIV,604,1,234
The lancet. Psychiatry,589,1,235
Drug resistance updates : reviews and commentaries in antimicrobial and anticancer chemotherapy,569,1,236
Annual review of biomedical engineering,549,1,237
Annual review of genomics and human genetics,530,1,238
Nursing open,529,1,239
World psychiatry : official journal of the World Psychiatric Association (WPA),453,1,240
Annual review of clinical psychology,405,1,241
"Personality and social psychology review : an official journal of the Society for Personality and Social Psychology, Inc",390,1,242
Annual review of pathology,375,1,243
MMWR. Recommendations and reports : Morbidity and mortality weekly report. Recommendations and reports,366,1,244
The Lancet. Haematology,344,1,245
Bone research,298,1,246
Nature reviews. Disease primers,278,1,247
The Lancet. Public health,241,1,248
"National vital statistics reports : from the Centers for Disease Control and Prevention, National Center for Health Statistics, National Vital Statistics System",212,1,249
Health psychology review,211,1,250
